ticker,date,quote_time,expiration,dte,option_type,strike,market_iv,market_mid,spot,rate,dividend,vega,contract_id,source
SPY,2026-05-11,2026-05-11 19:00:00+00:00,2026-05-15,4,call,728.0,19.027474348358815,12.82,738.5875,3.8,0.0,0.23183325927218237,2ee3509f-c7ec-4562-ab72-65a4a4312f71,Robinhood hourly last-trade replay; IV inverted from daily final trade
SPY,2026-05-11,2026-05-11 19:00:00+00:00,2026-05-15,4,call,730.0,16.543449236098677,10.71,738.5875,3.8,0.0,0.24007562196658072,326a7607-08f4-4ae2-b683-601532cd5a38,Robinhood hourly last-trade replay; IV inverted from daily final trade
SPY,2026-05-11,2026-05-11 19:00:00+00:00,2026-05-15,4,call,732.0,17.657695737928155,9.55,738.5875,3.8,0.0,0.2699480692775241,7c66b3ac-ea39-47c3-8f42-8a9606242cd0,Robinhood hourly last-trade replay; IV inverted from daily final trade
SPY,2026-05-11,2026-05-11 19:00:00+00:00,2026-05-15,4,call,734.0,16.883965623881668,8.0,738.5875,3.8,0.0,0.2864340634799107,d467c24a-0ead-4806-908a-331b8b4f5408,Robinhood hourly last-trade replay; IV inverted from daily final trade
SPY,2026-05-11,2026-05-11 19:00:00+00:00,2026-05-15,4,call,736.0,16.80948831584304,6.75,738.5875,3.8,0.0,0.3002741896209442,ead19cc8-94df-417f-a0ba-daa1b654d4aa,Robinhood hourly last-trade replay; IV inverted from daily final trade
SPY,2026-05-11,2026-05-11 19:00:00+00:00,2026-05-15,4,call,738.0,15.56879029523581,5.26,738.5875,3.8,0.0,0.30740910338919947,8457de86-f044-4f6a-a9b9-31e278de79a5,Robinhood hourly last-trade replay; IV inverted from daily final trade
SPY,2026-05-11,2026-05-11 19:00:00+00:00,2026-05-15,4,call,740.0,15.035744976596908,4.11,738.5875,3.8,0.0,0.30729099251784264,d0000866-c268-4fc6-9a2f-2813d18d99d0,Robinhood hourly last-trade replay; IV inverted from daily final trade
SPY,2026-05-11,2026-05-11 19:00:00+00:00,2026-05-15,4,call,742.0,14.398683251291512,3.07,738.5875,3.8,0.0,0.2973642846355739,fb0f9f82-67f9-48de-a778-02c612d92470,Robinhood hourly last-trade replay; IV inverted from daily final trade
SPY,2026-05-11,2026-05-11 19:00:00+00:00,2026-05-15,4,call,744.0,13.850199241451918,2.21,738.5875,3.8,0.0,0.27651219027242946,67c1fb7c-56bf-420f-afff-0708472957e0,Robinhood hourly last-trade replay; IV inverted from daily final trade
SPY,2026-05-11,2026-05-11 19:00:00+00:00,2026-05-15,4,call,746.0,13.388604958672076,1.53,738.5875,3.8,0.0,0.24549037698325116,7cfdbe04-2edf-4c06-acac-4ec232e1e042,Robinhood hourly last-trade replay; IV inverted from daily final trade
SPY,2026-05-11,2026-05-11 19:00:00+00:00,2026-05-15,4,call,748.0,12.923395353965457,1.0,738.5875,3.8,0.0,0.20601463016610735,c3d4a917-9fa0-4986-aee8-93e06450da5f,Robinhood hourly last-trade replay; IV inverted from daily final trade
SPY,2026-05-11,2026-05-11 19:00:00+00:00,2026-05-15,4,put,728.0,17.02499763727188,1.48,738.5875,3.8,0.0,0.21632102098906572,fe709508-4a04-4ef8-8e52-0f2a94b07f32,Robinhood hourly last-trade replay; IV inverted from daily final trade
